Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),temp,pressure,humidity,wind_speed,clouds_all,weather_description,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation
0,0.0,0.0,0.0,None,13.97,1027,81,1.96,87,6,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,None,13.48,1028,82,1.83,91,6,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,None,12.93,1027,84,1.96,93,6,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,None,12.61,1027,85,1.85,95,6,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,None,12.61,1027,86,1.83,93,6,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,None,12.62,1028,85,2.04,90,6,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,None,12.61,1028,83,1.98,83,4,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,None,13.27,1028,78,2.34,87,6,9.0,3.0,6.0,37.5,49.9
8,0.0,0.0,0.0,None,16.14,1029,75,2.15,65,4,130.0,83.0,47.0,455.9,248.3
9,0.0,0.0,0.0,None,18.85,1029,67,1.76,18,2,310.0,241.0,69.0,670.1,490.4
10,0.0,0.0,0.0,None,19.83,1029,66,2.09,3,7,476.0,388.0,88.0,759.7,696.4
11,0.0,0.0,0.0,None,20.71,1029,65,2.69,12,2,607.0,512.0,95.0,819.3,852.1
12,0.0,0.0,0.0,None,21.76,1028,64,2.86,25,3,694.0,603.0,91.0,868.3,947.0
13,0.0,0.0,0.0,None,22.82,1028,61,2.78,26,3,669.0,537.0,132.0,751.4,974.5
14,0.0,0.0,0.0,None,23.34,1027,61,2.71,31,3,679.0,584.0,95.0,853.8,932.8
15,0.215,0.0,0.0,None,23.83,1027,59,2.95,44,3,584.0,496.0,88.0,820.3,824.6
16,0.433,0.0,0.149,Low,23.8,1026,58,3.36,25,3,444.0,363.0,81.0,753.0,657.4
17,0.292,0.0,0.315,Low,22.99,1026,61,3.22,21,2,267.0,194.0,73.0,597.9,442.5
18,0.522,0.0,0.06,None,21.51,1026,65,3.44,10,7,85.0,33.0,52.0,212.4,194.5
19,0.581,0.0,0.0,None,20.19,1027,69,3.21,2,7,2.0,0.0,2.0,0.0,21.9
20,0.506,0.0,0.0,None,19.09,1027,72,2.98,10,7,0.0,0.0,0.0,0.0,0.0
21,0.534,0.0,0.0,None,18.25,1027,74,2.8,11,2,0.0,0.0,0.0,0.0,0.0
22,0.726,0.0,0.0,None,17.74,1027,79,2.47,16,2,0.0,0.0,0.0,0.0,0.0
23,0.662,0.0,0.0,None,17.96,1027,72,2.4,5,7,0.0,0.0,0.0,0.0,0.0
0,0.704,0.0,0.0,None,13.97,1027,87,2.07,39,3,0.0,0.0,0.0,0.0,0.0
1,0.466,0.0,0.0,None,17.34,1026,71,1.93,88,6,0.0,0.0,0.0,0.0,0.0
2,0.356,0.0,0.0,None,13.73,1026,88,1.81,98,6,0.0,0.0,0.0,0.0,0.0
3,0.355,0.0,0.0,None,12.92,1025,90,1.78,73,4,0.0,0.0,0.0,0.0,0.0
4,0.346,0.0,0.0,None,12.88,1025,91,1.77,42,3,0.0,0.0,0.0,0.0,0.0
5,0.351,0.0,0.0,None,17.16,1025,73,1.83,28,3,0.0,0.0,0.0,0.0,0.0
6,0.454,0.0,0.0,None,11.58,1025,91,1.81,40,3,0.0,0.0,0.0,0.0,0.0
7,0.372,0.0,0.002,None,11.67,1026,90,1.71,2,7,9.0,3.0,6.0,38.3,47.5
8,0.366,0.0,0.228,Medium,19.4,1026,64,1.86,0,7,128.0,84.0,44.0,470.5,243.6
9,0.0,0.0,0.268,High,20.63,1026,62,1.03,25,3,304.0,231.0,73.0,649.0,485.6
10,0.0,0.0,0.268,High,22.31,1026,62,0.73,84,4,474.0,389.0,85.0,767.6,691.4
11,0.0,0.0,0.278,Very High,22.94,1026,62,0.48,30,3,605.0,509.0,96.0,820.1,846.9
12,0.026,0.0,0.352,Very High,24.49,1025,54,0.62,65,4,683.0,577.0,106.0,836.3,941.4
